res_70.txt
CBF: 平均测试周期数 = 4256.75, 平均测试吞吐量 = 0.40, 平均测试吞吐量 = 1773.65
CM: 平均测试周期数 = 4490.62, 平均测试吞吐量 = 0.38, 平均测试吞吐量 = 1871.09
CS: 平均测试周期数 = 6353.00, 平均测试吞吐量 = 0.25, 平均测试吞吐量 = 2647.08
SlidingSketch: 平均测试周期数 = 9859.38, 平均测试吞吐量 = 0.15, 平均测试吞吐量 = 4108.07
UnivMon: 平均测试周期数 = 9464.88, 平均测试吞吐量 = 0.16, 平均测试吞吐量 = 3943.70
elastic: 平均测试周期数 = 2327.75, 平均测试吞吐量 = 0.98, 平均测试吞吐量 = 969.90
flowradar: 平均测试周期数 = 6312.25, 平均测试吞吐量 = 0.31, 平均测试吞吐量 = 2630.10
mvsketch: 平均测试周期数 = 3657.50, 平均测试吞吐量 = 0.50, 平均测试吞吐量 = 1523.96
nitrosketch: 平均测试周期数 = 4271.62, 平均测试吞吐量 = 0.46, 平均测试吞吐量 = 1779.84
res_80.txt
CBF: 平均测试周期数 = 3470.88, 平均测试吞吐量 = 0.62, 平均测试吞吐量 = 1446.20
CM: 平均测试周期数 = 3983.75, 平均测试吞吐量 = 0.50, 平均测试吞吐量 = 1659.90
CS: 平均测试周期数 = 5090.38, 平均测试吞吐量 = 0.37, 平均测试吞吐量 = 2120.99
SlidingSketch: 平均测试周期数 = 7450.75, 平均测试吞吐量 = 0.24, 平均测试吞吐量 = 3104.48
UnivMon: 平均测试周期数 = 8760.88, 平均测试吞吐量 = 0.20, 平均测试吞吐量 = 3650.36
elastic: 平均测试周期数 = 2323.00, 平均测试吞吐量 = 1.13, 平均测试吞吐量 = 967.92
flowradar: 平均测试周期数 = 3621.25, 平均测试吞吐量 = 0.58, 平均测试吞吐量 = 1508.85
mvsketch: 平均测试周期数 = 3513.38, 平均测试吞吐量 = 0.60, 平均测试吞吐量 = 1463.91
